Filename,GrayValue,ROI_Size
4.218.bmp,57.471111111111114,15x15
4.219.bmp,57.42666666666667,15x15
4.22.bmp,57.315555555555555,15x15
4.221.bmp,57.586666666666666,15x15
4.222.bmp,57.48,15x15
4.223.bmp,57.355555555555554,15x15
4.224.bmp,57.40888888888889,15x15
4.225.bmp,57.54222222222222,15x15
4.226.bmp,57.46666666666667,15x15
4.227.bmp,57.44444444444444,15x15
4.228.bmp,57.54666666666667,15x15
4.229.bmp,57.382222222222225,15x15
4.23.bmp,57.60444444444445,15x15
4.231.bmp,57.40888888888889,15x15
4.232.bmp,57.49333333333333,15x15
4.233.bmp,57.44444444444444,15x15
4.234.bmp,57.44,15x15
4.235.bmp,57.635555555555555,15x15
4.236.bmp,57.577777777777776,15x15
4.237.bmp,57.46222222222222,15x15
4.238.bmp,57.48444444444444,15x15
4.239.bmp,57.44,15x15
